Number,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,Weight (kg),Catch Rate,Base Happiness,HP,Attack,Defense,Special Attack,Special Defense,Speed,Exp. Curve,Base exp,HP EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV
1,Bulbasaur,Grass,Poison,,,,6.9,45,70,45,49,49,65,65,45,Medium Slow,64,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,,,,13,45,70,60,62,63,80,80,60,Medium Slow,141,60,62,63,80,80,60
3,Venusaur,Grass,Poison,,,,100,45,70,80,82,83,100,100,80,Medium Slow,208,80,82,83,100,100,80
4,Charmander,Fire,,,,,8.5,45,70,39,52,43,60,50,65,Medium Slow,65,39,52,43,60,50,65
5,Charmeleon,Fire,,,,,19,45,70,58,64,58,80,65,80,Medium Slow,142,58,64,58,80,65,80
6,Charizard,Fire,Flying,,,,90.5,45,70,78,84,78,109,85,100,Medium Slow,209,78,84,78,109,85,100
7,Squirtle,Water,,,,,9,45,70,44,48,65,50,64,43,Medium Slow,66,44,48,65,50,64,43
8,Wartortle,Water,,,,,22.5,45,70,59,63,80,65,80,58,Medium Slow,143,59,63,80,65,80,58
9,Blastoise,Water,,,,,85.5,45,70,79,83,100,85,105,78,Medium Slow,210,79,83,100,85,105,78
10,Caterpie,Bug,,,,,2.9,255,70,45,30,35,20,20,45,Medium,53,45,30,35,20,20,45
11,Metapod,Bug,,,,,9.9,120,70,50,20,55,25,25,30,Medium,72,50,20,55,25,25,30
12,Butterfree,Bug,Flying,,,,32,45,70,60,45,50,80,80,70,Medium,160,60,45,50,80,80,70
13,Weedle,Bug,Poison,,,,3.2,255,70,40,35,30,20,20,50,Medium,52,40,35,30,20,20,50
14,Kakuna,Bug,Poison,,,,10,120,70,45,25,50,25,25,35,Medium,71,45,25,50,25,25,35
15,Beedrill,Bug,Poison,,,,29.5,45,70,65,80,40,45,80,75,Medium,159,65,80,40,45,80,75
16,Pidgey,Normal,Flying,,,,1.8,255,70,40,45,40,35,35,56,Medium Slow,55,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,,,,30,120,70,63,60,55,50,50,71,Medium Slow,113,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,,,,39.5,45,70,83,80,75,70,70,91,Medium Slow,172,83,80,75,70,70,91
19,Rattata,Normal,,,,,3.5,255,70,30,56,35,25,35,72,Medium,57,30,56,35,25,35,72
20,Raticate,Normal,,,,,18.5,127,70,55,81,60,50,70,97,Medium,116,55,81,60,50,70,97
21,Spearow,Normal,Flying,,,,2,255,70,40,60,30,31,31,70,Medium,58,40,60,30,31,31,70
22,Fearow,Normal,Flying,,,,38,90,70,65,90,65,61,61,100,Medium,162,65,90,65,61,61,100
23,Ekans,Poison,,,,,6.9,255,70,35,60,44,40,54,55,Medium,62,35,60,44,40,54,55
24,Arbok,Poison,,,,,65,90,70,60,85,69,65,79,80,Medium,147,60,85,69,65,79,80
25,Pikachu,Electric,,,,,6,190,70,35,55,30,50,40,90,Medium,82,35,55,30,50,40,90
26,Raichu,Electric,,,,,30,75,70,60,90,55,90,80,100,Medium,122,60,90,55,90,80,100
27,Sandshrew,Ground,,,,,12,255,70,50,75,85,20,30,40,Medium,93,50,75,85,20,30,40
28,Sandslash,Ground,,,,,29.5,90,70,75,100,110,45,55,65,Medium,163,75,100,110,45,55,65
29,NidoranF,Poison,,,,,7,235,70,55,47,52,40,40,41,Medium Slow,59,55,47,52,40,40,41
30,Nidorina,Poison,,,,,20,120,70,70,62,67,55,55,56,Medium Slow,117,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,,,,60,45,70,90,82,87,75,85,76,Medium Slow,194,90,82,87,75,85,76
32,NidoranM,Poison,,,,,9,235,70,46,57,40,40,40,50,Medium Slow,60,46,57,40,40,40,50
33,Nidorino,Poison,,,,,19.5,120,70,61,72,57,55,55,65,Medium Slow,118,61,72,57,55,55,65
34,Nidoking,Poison,Ground,,,,62,45,70,81,92,77,85,75,85,Medium Slow,195,81,92,77,85,75,85
35,Clefairy,Fairy,,,,,7.5,150,140,70,45,48,60,65,35,Fast,68,70,45,48,60,65,35
36,Clefable,Fairy,,,,,40,25,140,95,70,73,85,90,60,Fast,129,95,70,73,85,90,60
37,Vulpix,Fire,,,,,9.9,190,70,38,41,40,50,65,65,Medium,63,38,41,40,50,65,65
38,Ninetales,Fire,,,,,19.9,75,70,73,76,75,81,100,100,Medium,178,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,,,,5.5,170,70,115,45,20,45,25,20,Fast,76,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,,,,12,50,70,140,70,45,75,50,45,Fast,109,140,70,45,75,50,45
41,Zubat,Poison,Flying,,,,7.5,255,70,40,45,35,30,40,55,Medium,54,40,45,35,30,40,55
42,Golbat,Poison,Flying,,,,55,90,70,75,80,70,65,75,90,Medium,171,75,80,70,65,75,90
43,Oddish,Grass,Poison,,,,5.4,255,70,45,50,55,75,65,30,Medium Slow,78,45,50,55,75,65,30
44,Gloom,Grass,Poison,,,,8.6,120,70,60,65,70,85,75,40,Medium Slow,132,60,65,70,85,75,40
45,Vileplume,Grass,Poison,,,,18.6,45,70,75,80,85,100,90,50,Medium Slow,184,75,80,85,100,90,50
46,Paras,Bug,Grass,,,,5.4,190,70,35,70,55,45,55,25,Medium,70,35,70,55,45,55,25
47,Parasect,Bug,Grass,,,,29.5,75,70,60,95,80,60,80,30,Medium,128,60,95,80,60,80,30
48,Venonat,Bug,Poison,,,,30,190,70,60,55,50,40,55,45,Medium,75,60,55,50,40,55,45
49,Venomoth,Bug,Poison,,,,12.5,75,70,70,65,60,90,75,90,Medium,138,70,65,60,90,75,90
50,Diglett,Ground,,,,,0.8,255,70,10,55,25,35,45,95,Medium,81,10,55,25,35,45,95
51,Dugtrio,Ground,,,,,33.3,50,70,35,80,50,50,70,120,Medium,153,35,80,50,50,70,120
52,Meowth,Normal,,,,,4.2,255,70,40,45,35,40,40,90,Medium,69,40,45,35,40,40,90
53,Persian,Normal,,,,,32,90,70,65,70,60,65,65,115,Medium,148,65,70,60,65,65,115
54,Psyduck,Water,,,,,19.6,190,70,50,52,48,65,50,55,Medium,80,50,52,48,65,50,55
55,Golduck,Water,,,,,76.6,75,70,80,82,78,95,80,85,Medium,174,80,82,78,95,80,85
56,Mankey,Fighting,,,,,28,190,70,40,80,35,35,45,70,Medium,74,40,80,35,35,45,70
57,Primeape,Fighting,,,,,32,75,70,65,105,60,60,70,95,Medium,149,65,105,60,60,70,95
58,Growlithe,Fire,,,,,19,190,70,55,70,45,70,50,60,Slow,91,55,70,45,70,50,60
59,Arcanine,Fire,,,,,155,75,70,90,110,80,100,80,95,Slow,213,90,110,80,100,80,95
